"AAR","AARMND","ANTALL_ARBEIDSSOKERE","BOSTED_FYLKE_NR_NAVN","ALDER_GRUPPE_5AARIG","HOVEDGRUPPETEKST","KJONN"
2025,202507,38,"11 Rogaland","45-49 år","Arbeidssøkere på tiltak","Menn"
2025,202502,93,"11 Rogaland","40-44 år","Arbeidssøkere på tiltak","Menn"
2025,202504,114,"32 Akershus","30-34 år","Arbeidssøkere på tiltak","Menn"
2025,202505,166,"32 Akershus","45-49 år","Delvis ledige","Kvinner"
2024,202405,131,"32 Akershus","65-69 år","Helt ledige","Menn"
2025,202508,154,"32 Akershus","50-54 år","Delvis ledige","Menn"
2025,202502,107,"33 Buskerud","50-54 år","Helt ledige","Kvinner"
2025,202503,65,"33 Buskerud","20-24 år","Arbeidssøkere på tiltak","Kvinner"
2024,202412,47,"39 Vestfold","35-39 år","Arbeidssøkere på tiltak","Kvinner"
2024,202406,13,"39 Vestfold","50-54 år","Arbeidssøkere på tiltak","Kvinner"
2025,202505,113,"39 Vestfold","45-49 år","Helt ledige","Kvinner"
2024,202410,37,"40 Telemark","45-49 år","Arbeidssøkere på tiltak","Menn"
2024,202411,49,"40 Telemark","35-39 år","Delvis ledige","Menn"
2024,202404,508,"46 Vestland","35-39 år","Helt ledige","Menn"
2024,202411,142,"46 Vestland","50-54 år","Delvis ledige","Kvinner"
2024,202411,140,"46 Vestland","55-59 år","Helt ledige","Kvinner"
2024,202407,259,"34 Innlandet","35-39 år","Helt ledige","Menn"
2025,202506,44,"34 Innlandet","35-39 år","Arbeidssøkere på tiltak","Menn"
2024,202401,105,"34 Innlandet","35-39 år","Arbeidssøkere på tiltak","Kvinner"
2024,202407,35,"18 Nordland - Nordlánnda","25-29 år","Delvis ledige","Menn"
2024,202402,24,"18 Nordland - Nordlánnda","50-54 år","Arbeidssøkere på tiltak","Menn"
2024,202404,92,"18 Nordland - Nordlánnda","60-64 år","Helt ledige","Menn"
2024,202410,29,"03 Oslo","60-64 år","Arbeidssøkere på tiltak","Menn"
2024,202410,5,"03 Oslo","19 år og under","Delvis ledige","Menn"
2025,202502,133,"42 Agder","45-49 år","Helt ledige","Kvinner"
2025,202502,43,"31 Østfold","19 år og under","Helt ledige","Kvinner"
2024,202412,161,"31 Østfold","20-24 år","Helt ledige","Kvinner"
2024,202401,83,"31 Østfold","45-49 år","Delvis ledige","Menn"
2025,202503,68,"32 Akershus","65-69 år","Helt ledige","Kvinner"
2024,202404,333,"32 Akershus","45-49 år","Helt ledige","Kvinner"
2024,202409,27,"32 Akershus","60-64 år","Arbeidssøkere på tiltak","Menn"
2025,202502,89,"33 Buskerud","40-44 år","Delvis ledige","Menn"
2024,202405,11,"40 Telemark","65-69 år","Helt ledige","Kvinner"
2024,202410,17,"40 Telemark","55-59 år","Arbeidssøkere på tiltak","Kvinner"
2024,202403,90,"34 Innlandet","25-29 år","Delvis ledige","Menn"
2024,202404,39,"15 Møre og Romsdal","25-29 år","Arbeidssøkere på tiltak","Kvinner"
2024,202412,90,"18 Nordland - Nordlánnda","60-64 år","Helt ledige","Menn"
2024,202405,333,"03 Oslo","30-34 år","Delvis ledige","Menn"
2024,202405,353,"03 Oslo","45-49 år","Helt ledige","Kvinner"
2024,202406,115,"31 Østfold","50-54 år","Helt ledige","Kvinner"
2024,202405,50,"11 Rogaland","45-49 år","Arbeidssøkere på tiltak","Menn"
2024,202406,52,"11 Rogaland","40-44 år","Arbeidssøkere på tiltak","Menn"
2024,202407,112,"11 Rogaland","35-39 år","Arbeidssøkere på tiltak","Kvinner"
2024,202403,50,"11 Rogaland","60-64 år","Delvis ledige","Kvinner"
2025,202507,78,"11 Rogaland","45-49 år","Delvis ledige","Kvinner"
2024,202401,241,"46 Vestland","55-59 år","Helt ledige","Menn"
2024,202405,229,"46 Vestland","55-59 år","Helt ledige","Menn"
2024,202410,81,"34 Innlandet","50-54 år","Delvis ledige","Kvinner"
2025,202502,51,"15 Møre og Romsdal","45-49 år","Arbeidssøkere på tiltak","Kvinner"
2025,202507,36,"15 Møre og Romsdal","20-24 år","Delvis ledige","Kvinner"
2025,202504,45,"18 Nordland - Nordlánnda","40-44 år","Arbeidssøkere på tiltak","Kvinner"
2025,202505,385,"50 Trøndelag - Trööndelage","25-29 år","Helt ledige","Menn"
2025,202501,3,"Ukjent","35-39 år","Arbeidssøkere på tiltak","Menn"
2025,202501,57,"42 Agder","55-59 år","Delvis ledige","Menn"
2025,202507,134,"32 Akershus","45-49 år","Delvis ledige","Menn"
2024,202405,137,"39 Vestfold","40-44 år","Helt ledige","Kvinner"
2025,202507,19,"40 Telemark","19 år og under","Helt ledige","Kvinner"
2024,202412,65,"40 Telemark","40-44 år","Delvis ledige","Kvinner"
2025,202502,31,"40 Telemark","60-64 år","Delvis ledige","Menn"
2025,202503,187,"15 Møre og Romsdal","25-29 år","Helt ledige","Menn"
2025,202504,281,"03 Oslo","30-34 år","Delvis ledige","Menn"
2025,202508,43,"42 Agder","45-49 år","Arbeidssøkere på tiltak","Menn"
2025,202504,85,"32 Akershus","50-54 år","Arbeidssøkere på tiltak","Kvinner"
2024,202409,24,"33 Buskerud","65-69 år","Helt ledige","Kvinner"
2024,202411,7,"33 Buskerud","65-69 år","Arbeidssøkere på tiltak","Menn"
2024,202412,95,"40 Telemark","50-54 år","Helt ledige","Menn"
2024,202404,119,"46 Vestland","35-39 år","Arbeidssøkere på tiltak","Menn"
2024,202402,63,"15 Møre og Romsdal","40-44 år","Arbeidssøkere på tiltak","Kvinner"
2025,202501,39,"18 Nordland - Nordlánnda","65-69 år","Helt ledige","Menn"
2024,202406,44,"18 Nordland - Nordlánnda","20-24 år","Delvis ledige","Menn"
2025,202503,440,"50 Trøndelag - Trööndelage","25-29 år","Helt ledige","Menn"
2024,202401,372,"50 Trøndelag - Trööndelage","35-39 år","Helt ledige","Menn"
2025,202504,180,"50 Trøndelag - Trööndelage","60-64 år","Helt ledige","Menn"
2024,202409,67,"50 Trøndelag - Trööndelage","35-39 år","Arbeidssøkere på tiltak","Kvinner"
2024,202412,249,"50 Trøndelag - Trööndelage","45-49 år","Helt ledige","Menn"
2024,202406,149,"50 Trøndelag - Trööndelage","45-49 år","Helt ledige","Kvinner"
2024,202406,117,"50 Trøndelag - Trööndelage","35-39 år","Delvis ledige","Menn"
2024,202408,54,"55 Troms - Romsa - Tromssa ","45-49 år","Helt ledige","Kvinner"
2025,202505,12,"55 Troms - Romsa - Tromssa ","55-59 år","Arbeidssøkere på tiltak","Menn"
2025,202505,59,"56 Finnmark - Finnmárku - Finmarkku","45-49 år","Helt ledige","Menn"
2025,202502,36,"56 Finnmark - Finnmárku - Finmarkku","35-39 år","Helt ledige","Kvinner"
2024,202409,47,"56 Finnmark - Finnmárku - Finmarkku","60-64 år","Helt ledige","Menn"
2025,202502,37,"56 Finnmark - Finnmárku - Finmarkku","55-59 år","Helt ledige","Kvinner"
2025,202506,374,"50 Trøndelag - Trööndelage","35-39 år","Helt ledige","Menn"
2024,202401,41,"50 Trøndelag - Trööndelage","40-44 år","Arbeidssøkere på tiltak","Kvinner"
2024,202402,113,"50 Trøndelag - Trööndelage","35-39 år","Delvis ledige","Menn"
2025,202506,21,"55 Troms - Romsa - Tromssa ","20-24 år","Delvis ledige","Menn"
2024,202411,62,"55 Troms - Romsa - Tromssa ","55-59 år","Helt ledige","Menn"
2024,202406,22,"11 Rogaland","55-59 år","Arbeidssøkere på tiltak","Menn"
2024,202406,46,"40 Telemark","45-49 år","Delvis ledige","Menn"
2025,202502,91,"46 Vestland","20-24 år","Arbeidssøkere på tiltak","Kvinner"
2024,202404,164,"34 Innlandet","25-29 år","Helt ledige","Kvinner"
2025,202504,55,"18 Nordland - Nordlánnda","20-24 år","Delvis ledige","Menn"
2024,202403,226,"50 Trøndelag - Trööndelage","45-49 år","Helt ledige","Menn"
2024,202403,267,"50 Trøndelag - Trööndelage","40-44 år","Helt ledige","Menn"
2024,202403,75,"50 Trøndelag - Trööndelage","30-34 år","Arbeidssøkere på tiltak","Menn"
2024,202409,86,"50 Trøndelag - Trööndelage","20-24 år","Delvis ledige","Kvinner"
2024,202410,199,"50 Trøndelag - Trööndelage","20-24 år","Helt ledige","Kvinner"
2024,202402,53,"55 Troms - Romsa - Tromssa ","60-64 år","Helt ledige","Menn"
2024,202407,103,"55 Troms - Romsa - Tromssa ","40-44 år","Helt ledige","Menn"
2024,202411,3,"97 Svalbard og øvrige områder","30-34 år","Helt ledige","Kvinner"
2025,202507,39,"56 Finnmark - Finnmárku - Finmarkku","30-34 år","Helt ledige","Kvinner"
2025,202502,30,"56 Finnmark - Finnmárku - Finmarkku","45-49 år","Delvis ledige","Menn"
2024,202406,328,"50 Trøndelag - Trööndelage","25-29 år","Helt ledige","Menn"
2025,202503,126,"50 Trøndelag - Trööndelage","30-34 år","Delvis ledige","Menn"
2025,202505,16,"50 Trøndelag - Trööndelage","65-69 år","Delvis ledige","Menn"
2024,202412,15,"56 Finnmark - Finnmárku - Finmarkku","65-69 år","Helt ledige","Menn"
2025,202508,2,"32 Akershus","70 år og over","Helt ledige","Menn"
2024,202412,47,"33 Buskerud","19 år og under","Helt ledige","Menn"
2024,202402,3,"39 Vestfold","70 år og over","Helt ledige","Menn"
2025,202501,147,"46 Vestland","30-34 år","Arbeidssøkere på tiltak","Kvinner"
2024,202409,9,"34 Innlandet","19 år og under","Delvis ledige","Menn"
2024,202406,31,"18 Nordland - Nordlánnda","40-44 år","Arbeidssøkere på tiltak","Menn"
2025,202503,64,"18 Nordland - Nordlánnda","25-29 år","Delvis ledige","Menn"
2024,202409,33,"18 Nordland - Nordlánnda","45-49 år","Arbeidssøkere på tiltak","Kvinner"
2024,202407,45,"18 Nordland - Nordlánnda","55-59 år","Helt ledige","Kvinner"
2025,202504,61,"42 Agder","50-54 år","Arbeidssøkere på tiltak","Kvinner"
2025,202502,101,"50 Trøndelag - Trööndelage","45-49 år","Delvis ledige","Kvinner"
2025,202507,14,"55 Troms - Romsa - Tromssa ","55-59 år","Delvis ledige","Menn"
2024,202412,68,"56 Finnmark - Finnmárku - Finmarkku","50-54 år","Helt ledige","Menn"
2024,202412,14,"50 Trøndelag - Trööndelage","19 år og under","Delvis ledige","Menn"
2025,202504,99,"50 Trøndelag - Trööndelage","50-54 år","Delvis ledige","Kvinner"
2024,202406,32,"55 Troms - Romsa - Tromssa ","25-29 år","Delvis ledige","Kvinner"
2024,202409,24,"55 Troms - Romsa - Tromssa ","40-44 år","Arbeidssøkere på tiltak","Kvinner"
2024,202403,33,"56 Finnmark - Finnmárku - Finmarkku","30-34 år","Delvis ledige","Kvinner"
2024,202411,6,"Ukjent","35-39 år","Delvis ledige","Kvinner"
2024,202405,45,"42 Agder","19 år og under","Helt ledige","Kvinner"
2025,202502,65,"42 Agder","55-59 år","Delvis ledige","Menn"
2024,202402,14,"33 Buskerud","50-54 år","Arbeidssøkere på tiltak","Menn"
2024,202405,76,"34 Innlandet","40-44 år","Delvis ledige","Kvinner"
2025,202503,45,"18 Nordland - Nordlánnda","30-34 år","Arbeidssøkere på tiltak","Menn"
2025,202508,24,"Ukjent","50-54 år","Delvis ledige","Menn"
2024,202405,31,"42 Agder","55-59 år","Arbeidssøkere på tiltak","Kvinner"
2025,202503,95,"11 Rogaland","19 år og under","Helt ledige","Menn"
2025,202502,29,"15 Møre og Romsdal","19 år og under","Helt ledige","Kvinner"
2024,202401,38,"18 Nordland - Nordlánnda","50-54 år","Delvis ledige","Kvinner"
2024,202412,89,"50 Trøndelag - Trööndelage","55-59 år","Helt ledige","Kvinner"
2024,202405,116,"50 Trøndelag - Trööndelage","20-24 år","Arbeidssøkere på tiltak","Menn"
2024,202411,328,"50 Trøndelag - Trööndelage","35-39 år","Helt ledige","Menn"
2024,202412,71,"11 Rogaland","45-49 år","Delvis ledige","Menn"
2024,202403,12,"34 Innlandet","60-64 år","Arbeidssøkere på tiltak","Kvinner"
2024,202409,16,"15 Møre og Romsdal","65-69 år","Delvis ledige","Kvinner"
2025,202505,61,"18 Nordland - Nordlánnda","35-39 år","Delvis ledige","Menn"
2024,202405,29,"50 Trøndelag - Trööndelage","55-59 år","Arbeidssøkere på tiltak","Menn"
2024,202401,83,"55 Troms - Romsa - Tromssa ","45-49 år","Helt ledige","Menn"
2024,202401,28,"55 Troms - Romsa - Tromssa ","55-59 år","Delvis ledige","Menn"
2024,202404,112,"50 Trøndelag - Trööndelage","25-29 år","Arbeidssøkere på tiltak","Menn"
2024,202405,17,"55 Troms - Romsa - Tromssa ","60-64 år","Helt ledige","Kvinner"
2024,202412,51,"56 Finnmark - Finnmárku - Finmarkku","30-34 år","Delvis ledige","Kvinner"
2025,202508,66,"56 Finnmark - Finnmárku - Finmarkku","40-44 år","Helt ledige","Menn"
2024,202412,13,"55 Troms - Romsa - Tromssa ","60-64 år","Delvis ledige","Kvinner"
2025,202502,88,"50 Trøndelag - Trööndelage","50-54 år","Delvis ledige","Kvinner"
2024,202401,32,"56 Finnmark - Finnmárku - Finmarkku","55-59 år","Delvis ledige","Menn"
2025,202507,15,"55 Troms - Romsa - Tromssa ","25-29 år","Arbeidssøkere på tiltak","Menn"
2025,202505,34,"33 Buskerud","45-49 år","Arbeidssøkere på tiltak","Kvinner"
2025,202508,66,"46 Vestland","60-64 år","Delvis ledige","Kvinner"
2025,202504,10,"15 Møre og Romsdal","60-64 år","Arbeidssøkere på tiltak","Kvinner"
2024,202404,29,"31 Østfold","50-54 år","Arbeidssøkere på tiltak","Menn"
2024,202404,35,"33 Buskerud","60-64 år","Delvis ledige","Kvinner"
2025,202505,34,"39 Vestfold","45-49 år","Arbeidssøkere på tiltak","Menn"
2025,202507,44,"39 Vestfold","55-59 år","Delvis ledige","Menn"
2025,202508,36,"50 Trøndelag - Trööndelage","65-69 år","Helt ledige","Kvinner"
2024,202410,61,"39 Vestfold","50-54 år","Arbeidssøkere på tiltak","I alt"
2025,202502,22,"39 Vestfold","65-69 år","Delvis ledige","I alt"
2024,202407,9,"39 Vestfold","19 år og under","Arbeidssøkere på tiltak","I alt"
2025,202503,1,"39 Vestfold","70 år og over","Delvis ledige","I alt"
2025,202501,219,"39 Vestfold","60-64 år","Helt ledige","I alt"
2024,202410,252,"39 Vestfold","45-49 år","Helt ledige","I alt"
2024,202404,164,"39 Vestfold","30-34 år","Delvis ledige","I alt"
2025,202501,484,"39 Vestfold","35-39 år","Helt ledige","I alt"
2024,202404,210,"39 Vestfold","55-59 år","Helt ledige","I alt"
2025,202502,96,"39 Vestfold","30-34 år","Arbeidssøkere på tiltak","I alt"
2024,202406,208,"39 Vestfold","55-59 år","Helt ledige","I alt"
2024,202404,178,"39 Vestfold","50-54 år","Delvis ledige","I alt"
2025,202502,156,"39 Vestfold","30-34 år","Delvis ledige","I alt"
2024,202406,1912,"40 Telemark","I alt","Helt ledige","I alt"
2024,202409,802,"40 Telemark","I alt","Delvis ledige","I alt"
2024,202412,704,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2025,202502,687,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2025,202508,2146,"40 Telemark","I alt","Helt ledige","I alt"
2025,202501,2447,"40 Telemark","I alt","Helt ledige","I alt"
2024,202405,615,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2024,202404,887,"40 Telemark","I alt","Delvis ledige","I alt"
2025,202506,2080,"40 Telemark","I alt","Helt ledige","I alt"
2024,202404,614,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2024,202408,787,"40 Telemark","I alt","Delvis ledige","I alt"
2024,202410,831,"40 Telemark","I alt","Delvis ledige","I alt"
2025,202502,2425,"40 Telemark","I alt","Helt ledige","I alt"
2025,202504,909,"40 Telemark","I alt","Delvis ledige","I alt"
2025,202506,466,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2024,202409,620,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2024,202406,914,"40 Telemark","I alt","Delvis ledige","I alt"
2024,202409,2039,"40 Telemark","I alt","Helt ledige","I alt"
2024,202410,2010,"40 Telemark","I alt","Helt ledige","I alt"
2024,202407,713,"40 Telemark","I alt","Delvis ledige","I alt"
2025,202503,2401,"40 Telemark","I alt","Helt ledige","I alt"
2025,202505,897,"40 Telemark","I alt","Delvis ledige","I alt"
2024,202411,868,"40 Telemark","I alt","Delvis ledige","I alt"
2024,202402,655,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2024,202401,542,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2024,202401,2287,"40 Telemark","I alt","Helt ledige","I alt"
2024,202404,1983,"40 Telemark","I alt","Helt ledige","I alt"
2025,202508,799,"40 Telemark","I alt","Delvis ledige","I alt"
2025,202501,826,"40 Telemark","I alt","Delvis ledige","I alt"
2025,202504,569,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2024,202407,453,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2025,202502,865,"40 Telemark","I alt","Delvis ledige","I alt"
2024,202408,2118,"40 Telemark","I alt","Helt ledige","I alt"
2025,202507,368,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2024,202405,1874,"40 Telemark","I alt","Helt ledige","I alt"
2024,202401,858,"40 Telemark","I alt","Delvis ledige","I alt"
2025,202506,915,"40 Telemark","I alt","Delvis ledige","I alt"
2025,202507,2154,"40 Telemark","I alt","Helt ledige","I alt"
2025,202503,893,"40 Telemark","I alt","Delvis ledige","I alt"
2024,202411,728,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2025,202508,403,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2024,202406,552,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2025,202507,708,"40 Telemark","I alt","Delvis ledige","I alt"
2025,202505,550,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2024,202405,863,"40 Telemark","I alt","Delvis ledige","I alt"
2024,202403,619,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2025,202503,696,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2024,202403,906,"40 Telemark","I alt","Delvis ledige","I alt"
2025,202501,649,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2024,202408,485,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2024,202407,2100,"40 Telemark","I alt","Helt ledige","I alt"
2024,202412,2116,"40 Telemark","I alt","Helt ledige","I alt"
2025,202504,2120,"40 Telemark","I alt","Helt ledige","I alt"
2025,202505,2044,"40 Telemark","I alt","Helt ledige","I alt"
2024,202410,685,"40 Telemark","I alt","Arbeidssøkere på tiltak","I alt"
2024,202412,900,"40 Telemark","I alt","Delvis ledige","I alt"
2024,202411,2004,"40 Telemark","I alt","Helt ledige","I alt"
2024,202402,892,"40 Telemark","I alt","Delvis ledige","I alt"
2024,202402,2128,"40 Telemark","I alt","Helt ledige","I alt"
2024,202403,2166,"40 Telemark","I alt","Helt ledige","I alt"
2024,202409,50,"40 Telemark","65-69 år","Helt ledige","I alt"
2024,202404,28,"40 Telemark","65-69 år","Delvis ledige","I alt"
2025,202505,10,"40 Telemark","19 år og under","Delvis ledige","I alt"
2025,202508,102,"40 Telemark","25-29 år","Delvis ledige","I alt"
2024,202407,134,"40 Telemark","55-59 år","Helt ledige","I alt"
2025,202508,314,"40 Telemark","35-39 år","Helt ledige","I alt"
2024,202401,322,"40 Telemark","25-29 år","Helt ledige","I alt"
2024,202409,230,"40 Telemark","40-44 år","Helt ledige","I alt"
2025,202508,286,"40 Telemark","25-29 år","Helt ledige","I alt"
2025,202503,268,"40 Telemark","40-44 år","Helt ledige","I alt"
2025,202507,83,"40 Telemark","20-24 år","Delvis ledige","I alt"
2024,202401,82,"40 Telemark","19 år og under","Helt ledige","I alt"
2024,202410,125,"40 Telemark","55-59 år","Helt ledige","I alt"
2024,202401,175,"40 Telemark","50-54 år","Helt ledige","I alt"
2024,202407,58,"40 Telemark","40-44 år","Arbeidssøkere på tiltak","I alt"
2024,202403,121,"40 Telemark","25-29 år","Delvis ledige","I alt"
2025,202503,54,"40 Telemark","60-64 år","Delvis ledige","I alt"
2024,202404,94,"40 Telemark","35-39 år","Arbeidssøkere på tiltak","I alt"
2025,202507,192,"40 Telemark","50-54 år","Helt ledige","I alt"
2025,202503,35,"40 Telemark","55-59 år","Arbeidssøkere på tiltak","I alt"
2024,202408,74,"40 Telemark","20-24 år","Delvis ledige","I alt"
2025,202501,71,"40 Telemark","45-49 år","Arbeidssøkere på tiltak","I alt"
2024,202408,65,"40 Telemark","40-44 år","Arbeidssøkere på tiltak","I alt"
2024,202412,27,"40 Telemark","65-69 år","Delvis ledige","I alt"
2025,202501,25,"40 Telemark","19 år og under","Arbeidssøkere på tiltak","I alt"
2025,202503,101,"40 Telemark","30-34 år","Arbeidssøkere på tiltak","I alt"
2024,202407,16,"40 Telemark","55-59 år","Arbeidssøkere på tiltak","I alt"
2024,202406,128,"40 Telemark","40-44 år","Delvis ledige","I alt"
2025,202505,101,"40 Telemark","50-54 år","Delvis ledige","I alt"
2024,202407,148,"40 Telemark","50-54 år","Helt ledige","I alt"
2024,202411,67,"40 Telemark","55-59 år","Delvis ledige","I alt"
2024,202412,71,"40 Telemark","55-59 år","Delvis ledige","I alt"
2024,202410,20,"40 Telemark","60-64 år","Arbeidssøkere på tiltak","I alt"
2024,202409,68,"40 Telemark","55-59 år","Delvis ledige","I alt"
2024,202403,15,"40 Telemark","19 år og under","Delvis ledige","I alt"
2025,202502,92,"40 Telemark","25-29 år","Delvis ledige","I alt"
2025,202506,8,"40 Telemark","60-64 år","Arbeidssøkere på tiltak","I alt"
2025,202506,12,"40 Telemark","19 år og under","Delvis ledige","I alt"
2024,202406,1,"40 Telemark","70 år og over","Helt ledige","I alt"
2025,202507,8,"40 Telemark","60-64 år","Arbeidssøkere på tiltak","I alt"
2025,202507,54,"40 Telemark","45-49 år","Delvis ledige","I alt"
2025,202508,72,"40 Telemark","25-29 år","Arbeidssøkere på tiltak","I alt"
2025,202508,21,"40 Telemark","50-54 år","Arbeidssøkere på tiltak","I alt"
2024,202408,275,"40 Telemark","25-29 år","Helt ledige","I alt"
2024,202408,92,"40 Telemark","25-29 år","Arbeidssøkere på tiltak","I alt"
2024,202408,101,"40 Telemark","60-64 år","Helt ledige","I alt"
2024,202402,272,"40 Telemark","35-39 år","Helt ledige","I alt"
2024,202402,83,"40 Telemark","40-44 år","Arbeidssøkere på tiltak","I alt"
2025,202504,14,"40 Telemark","19 år og under","Delvis ledige","I alt"
2024,202409,1,"40 Telemark","70 år og over","Helt ledige","I alt"
2024,202402,118,"40 Telemark","60-64 år","Helt ledige","I alt"
2025,202507,223,"40 Telemark","20-24 år","Helt ledige","I alt"
2024,202407,80,"40 Telemark","45-49 år","Delvis ledige","I alt"
2025,202507,52,"40 Telemark","30-34 år","Arbeidssøkere på tiltak","I alt"
2024,202407,86,"40 Telemark","35-39 år","Delvis ledige","I alt"
2024,202403,260,"40 Telemark","20-24 år","Helt ledige","I alt"
2025,202503,138,"40 Telemark","60-64 år","Helt ledige","I alt"
2025,202507,61,"40 Telemark","35-39 år","Arbeidssøkere på tiltak","I alt"
2024,202410,122,"40 Telemark","25-29 år","Arbeidssøkere på tiltak","I alt"
2025,202508,182,"40 Telemark","50-54 år","Helt ledige","I alt"
2025,202504,75,"40 Telemark","40-44 år","Arbeidssøkere på tiltak","I alt"
2024,202410,115,"40 Telemark","35-39 år","Delvis ledige","I alt"
2024,202407,242,"40 Telemark","40-44 år","Helt ledige","I alt"
2024,202408,79,"40 Telemark","50-54 år","Delvis ledige","I alt"
2024,202408,1,"40 Telemark","70 år og over","Helt ledige","I alt"
2024,202401,89,"40 Telemark","45-49 år","Delvis ledige","I alt"
2025,202503,195,"40 Telemark","45-49 år","Helt ledige","I alt"
2025,202503,103,"40 Telemark","45-49 år","Delvis ledige","I alt"
2024,202402,75,"40 Telemark","55-59 år","Delvis ledige","I alt"
2025,202504,85,"40 Telemark","45-49 år","Delvis ledige","I alt"
2025,202504,134,"40 Telemark","55-59 år","Helt ledige","I alt"
2024,202402,306,"40 Telemark","30-34 år","Helt ledige","I alt"
2024,202403,102,"40 Telemark","30-34 år","Delvis ledige","I alt"
2024,202407,45,"40 Telemark","45-49 år","Arbeidssøkere på tiltak","I alt"
2025,202502,8,"40 Telemark","19 år og under","Delvis ledige","I alt"
2024,202406,76,"40 Telemark","40-44 år","Arbeidssøkere på tiltak","I alt"
2025,202502,105,"40 Telemark","35-39 år","Delvis ledige","I alt"
2024,202403,10,"40 Telemark","19 år og under","Arbeidssøkere på tiltak","I alt"
2024,202401,94,"40 Telemark","35-39 år","Arbeidssøkere på tiltak","I alt"
2025,202506,102,"40 Telemark","50-54 år","Delvis ledige","I alt"
2024,202411,94,"40 Telemark","40-44 år","Arbeidssøkere på tiltak","I alt"
2025,202507,51,"40 Telemark","19 år og under","Helt ledige","I alt"
2024,202411,282,"40 Telemark","35-39 år","Helt ledige","I alt"
2025,202502,204,"40 Telemark","45-49 år","Helt ledige","I alt"
2024,202410,88,"40 Telemark","19 år og under","Helt ledige","I alt"
2024,202412,108,"40 Telemark","35-39 år","Arbeidssøkere på tiltak","I alt"
2024,202409,75,"40 Telemark","20-24 år","Delvis ledige","I alt"
2025,202503,26,"40 Telemark","65-69 år","Delvis ledige","I alt"
2025,202503,2,"40 Telemark","65-69 år","Arbeidssøkere på tiltak","I alt"
2025,202503,78,"40 Telemark","45-49 år","Arbeidssøkere på tiltak","I alt"
2024,202412,15,"40 Telemark","60-64 år","Arbeidssøkere på tiltak","I alt"
2024,202407,17,"40 Telemark","19 år og under","Arbeidssøkere på tiltak","I alt"
2025,202502,24,"40 Telemark","19 år og under","Arbeidssøkere på tiltak","I alt"
2024,202405,8,"40 Telemark","19 år og under","Delvis ledige","I alt"
2024,202401,1,"40 Telemark","70 år og over","Helt ledige","I alt"
2025,202506,287,"40 Telemark","35-39 år","Helt ledige","I alt"
2025,202502,283,"40 Telemark","40-44 år","Helt ledige","I alt"
2025,202508,19,"40 Telemark","55-59 år","Arbeidssøkere på tiltak","I alt"
2024,202407,265,"40 Telemark","25-29 år","Helt ledige","I alt"
2025,202502,320,"40 Telemark","25-29 år","Helt ledige","I alt"
2025,202505,312,"40 Telemark","30-34 år","Helt ledige","I alt"
2024,202411,89,"40 Telemark","50-54 år","Delvis ledige","I alt"
2024,202411,132,"40 Telemark","50-54 år","Helt ledige","I alt"
2024,202405,237,"40 Telemark","25-29 år","Helt ledige","I alt"
2024,202404,85,"40 Telemark","19 år og under","Helt ledige","I alt"
2025,202506,25,"40 Telemark","55-59 år","Arbeidssøkere på tiltak","I alt"
2025,202507,280,"40 Telemark","25-29 år","Helt ledige","I alt"
2024,202404,271,"40 Telemark","25-29 år","Helt ledige","I alt"
2024,202412,106,"40 Telemark","25-29 år","Delvis ledige","I alt"
2025,202502,74,"40 Telemark","55-59 år","Delvis ledige","I alt"
2024,202412,94,"40 Telemark","20-24 år","Delvis ledige","I alt"
2024,202409,83,"40 Telemark","40-44 år","Arbeidssøkere på tiltak","I alt"
2024,202403,91,"40 Telemark","30-34 år","Arbeidssøkere på tiltak","I alt"
2025,202505,109,"40 Telemark","30-34 år","Delvis ledige","I alt"
2024,202408,50,"40 Telemark","60-64 år","Delvis ledige","I alt"
2025,202503,86,"40 Telemark","20-24 år","Delvis ledige","I alt"
2024,202409,76,"40 Telemark","50-54 år","Delvis ledige","I alt"
2025,202506,78,"40 Telemark","35-39 år","Arbeidssøkere på tiltak","I alt"
2025,202508,13,"40 Telemark","19 år og under","Delvis ledige","I alt"
2024,202407,64,"40 Telemark","20-24 år","Arbeidssøkere på tiltak","I alt"
